Région,Nature,Type,Texte annonce,Prix,Modifiée
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 neuf haut stan,900,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 neuf haut stan,950,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 meublé à ennas,1 200,04/12/2024
Jardins de Cart,Location,App. 4 pièc,S3 meublé aux jardins de,3 700,04/12/2024
Nabeul,Terrain,Terrain nu,Terrain commercial,123 000,04/12/2024
Kelibia,Location,App. 3 pièc,App s2 kelibia,6 000,04/12/2024
Kelibia,Location,App. 3 pièc,App s3 kelibia,600,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 neuf haut stan,850,04/12/2024
Montplaisir,Bureaux & Commer,Bureau,Plateau moderne sup 165,3 000,04/12/2024
Zone urbaine no,Bureaux & Commer,Bureau,Plateau moderne h 5 sup,3 500,04/12/2024
Mutuelle Ville,Bureaux & Commer,Bureau,Plateau moderne sup 300,7 000,04/12/2024
Ain Zaghouan,Location,Maisons,Villa s7 avec piscine à,6 500,04/12/2024
Jardins de Cart,Vente,App. 3 pièc,Un appartement s3 vide m,890 000,04/12/2024
El Mourouj,Vente,App. 3 pièc,Appartement nawres,107 000,04/12/2024
El Mourouj,Location,App. 3 pièc,Rd jardin meublée,600,04/12/2024
Gammart,Location,App. 5 pièc,Villa s4 avec piscine à,6 000,04/12/2024
Jardins de Cart,Location,App. 3 pièc,Appartement s2 aux jardi,1 600,04/12/2024
Ain Zaghouan,Location,App. 2 pièc,Appartement s1 meublé à,1 700,04/12/2024
El Mourouj,Vente,App. 4 pièc,Appartement mourouj 3 2 étage,170 000,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appartement s 1 ht stand,900,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Un appart s 1 ht standin,850,04/12/2024
Riadh Landlous,Location,App. 3 pièc,Étage de villa s 2 riadh,900,04/12/2024
El Mahfoura,Terrain,Terrain nu,Terrain nu tebourba elmahfour,1 650 000,04/12/2024
Bou Hnech,Terrain,Terrain nu,Terrain nu bou hnech,225 000,04/12/2024
Borj Touil,Vente,Maisons,Maisons borj touil,550 000,04/12/2024
